name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Lu(Ac)+2,NA,LuCH3COO+2,aq,"SK93 [S98]",NA,10.Sep.92,-251290,-288534,-45.4,73.3,-0.7,2.2608,-2.2622,6.6412,-2.6854,65.2386,11.8981,1.7486,2
Lu(Ac)2+,NA,Lu(CH3COO)2+,aq,"SK93 [S98]",NA,10.Sep.92,-342150,-409310,-31.6,170.9,48.7,8.7721,13.6382,0.3879,-3.3427,115.7906,31.7774,1.0276,1
Lu(Ac)3,NA,Lu(CH3COO)3,aq,"SK93 [S98]",NA,10.Sep.92,-432290,-531620,-25.3,260.8,103.7,15.9409,31.1419,-6.4897,-4.0663,158.7197,50.085,-0.03,0
Y(Ac)+2,NA,YCH3COO+2,aq,"SK93 [S98]",NA,10.Sep.92,-255670,-291130,-41,65,4,2.8774,-0.7576,6.0516,-2.7476,59.7114,10.2023,1.6782,2
Y(Ac)2+,NA,Y(CH3COO)2+,aq,"SK93 [S98]",NA,10.Sep.92,-346520,-411420,-25.6,154.7,53.9,9.4572,15.3127,-0.2736,-3.4119,105.4982,28.4687,0.9437,1
Y(Ac)3,NA,Y(CH3COO)3,aq,"SK93 [S98]",NA,10.Sep.92,-436650,-533170,-17.5,233.3,109.5,16.7359,33.0838,-7.255,-4.1466,142.63,44.4926,-0.03,0
Al(Ac)3,NA,Al(CH3COO)3,aq,"SK93 [S98]",NA,5.Apr.93,-391100,-498280,-57,NA,NA,16.0545,31.4184,-6.597,-4.0777,156.5453,49.3293,-0.03,0
CO,NA,CO,aq,"SM93 [S98]",NA,1.Sep.06,-28682,-28910,24.53,64.5,33.8,6.2373,7.4498,2.8184,-3.0869,40.2523,10.0022,-0.3715,0
HCN,NA,HCN,aq,"SM93 [S98]",NA,4.Jun.93,28600,25600,29.8,40.7,45.9,8.0083,11.7705,1.1286,-3.2655,28.9941,5.256,-0.1113,0
urea,NA,H2NCONH2,aq,"SM93 [S98]",NA,5.Aug.90,-48720,-76100,42.3,44.23,21,7.7158,7.3031,10.9353,-3.0808,23.584,-2.6343,-0.3006,0
