name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
copper,Cu,Cu,cr,"HDNB78 [S92]",NA,5.May.78,0,0,7.923,NA,7.113,5.41,1.5,0,0,0,0,0,1357
cordierite,Crd,Mg2Al3(AlSi5)O18,cr,"HDNB78 [S92]",NA,5.May.78,-2061279,-2183199,97.33,NA,233.22,143.83,25.8,-38.6,0,0,0,0,1700
"cordierite,hydrous",Hyd-Crd,Mg2Al3(AlSi5)O18*H2O,cr,"HDNB78 [S92]",NA,5.May.78,-2121350,-2255676,111.43,NA,241.22,155.23,25.8,-38.6,0,0,0,0,1700
corundum,Crn,Al2O3,cr,"HDNB78 [S92]",NA,5.May.78,-374824,-397145,12.18,NA,25.575,27.49,2.82,-8.38,0,0,0,0,1800
covellite,Cv,CuS,cr,"HDNB78 [S92]",NA,5.May.78,-12612,-12500,15.9,NA,20.42,10.6,2.64,0,0,0,0,0,1273
cristobalite,Crs,SiO2,cr1,"HDNB78 [S92]",NA,5.May.78,-203895,-216755,10.372,NA,25.74,13.98,3.34,-3.81,0,0,0,0,543
cristobalite,Crs,SiO2,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-203677.53,-216037.379,12.0495,NA,25.74,17.39,0.31,-9.89,0,0,0,0,2000
"cristobalite,alpha",A-Crs,SiO2,cr,"HDNB78 [S92]",NA,5.May.78,-203895,-216755,10.372,NA,25.74,13.98,3.34,-3.81,0,0,0,0,1000
"cristobalite,beta",B-Crs,SiO2,cr,"HDNB78 [S92]",NA,5.May.78,-203290,-215675,11.963,NA,27.38,17.39,0.31,-9.89,0,0,0,0,2000
"cronstedtite,7a",7A-Csd,Fe2Fe(FeSi)O5(OH)4,cr1,"HDNB78 [S92]",NA,5.May.78,NA,NA,73.5,NA,110.9,84.79,41.84,-12.476,0,0,0,0,950
"cronstedtite,7a",7A-Csd,Fe2Fe(FeSi)O5(OH)4,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-160.595,NA,69.3289,NA,110.9,97.3,23.24,-8.93,0,0,0,0,1050
"cronstedtite,7a",7A-Csd,Fe2Fe(FeSi)O5(OH)4,cr3,"HDNB78 [S92]",CHNOSZ.1,5.May.78,957.096,NA,73.4065,NA,110.9,93.01,25,-8.93,0,0,0,0,1500
cummingtonite,Cum,Mg7Si8O22(OH)2,cr,"HDNB78 [S92]",NA,16.Aug.15,NA,NA,127.5,NA,271.9,185.24,58.61,-41.66,0,0,0,0,800
cuprite,Cpr,Cu2O,cr,"HDNB78 [S92]",NA,5.May.78,-35384,-40830,22.08,NA,23.437,14.08,5.88,-0.76,0,0,0,0,1515
"daphnite,14a",Dph-14A,Fe5Al(AlSi3)O10(OH)8,cr,"HDNB78 [S92]","SLOP98.2",5.May.78,-1550482,-1695426,142.5,NA,213.42,176.21,43.76,-33.82,0,0,0,0,1000
"daphnite,7a",7A-Dph,Fe5Al(AlSi3)O10(OH)8,cr1,"HDNB78 [S92]",NA,5.May.78,NA,NA,138.9,NA,221.2,172.53,52.28,-37.23,0,0,0,0,848
"daphnite,7a",7A-Dph,Fe5Al(AlSi3)O10(OH)8,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,3.159,NA,137.726,NA,221.2,175.72,46.02,-34.63,0,0,0,0,1000
diaspore,Dsp,AlO(OH),cr,"HDNB78 [S92]",NA,5.May.78,-218402,-237170,8.43,NA,17.76,14.435,4.2,0,0,0,0,0,500
dickite,Dck,Al2Si2O5(OH)4,cr,"HDNB78 [S92]","RHF79.1 [S92]",5.May.78,NA,NA,47.1,NA,99.3,72.77,29.2,-21.52,0,0,0,0,1000
diopside,Di,CaMg(SiO3)2,cr,"HDNB78 [S92]","SPRONS92.2",15.Mar.90,-723780,-765378,34.2,NA,66.09,52.87,7.84,-15.74,0,0,0,0,1600
dolomite,Dol,CaMg(CO3)2,cr,"HDNB78 [S92]","SPRONS92.2",15.Mar.90,-517760,-556631,37.09,NA,64.365,41.557,23.952,-9.884,0,0,0,0,1000
"dolomite,disordered",Dis-Dol,CaMg(CO3)2,cr,"HDNB78 [S92]","SPRONS92.2",15.Mar.90,-515653,-553704,39.84,NA,64.39,44.711,17.779,-10.948,0,0,0,0,1000
"dolomite,ordered",Ord-Dol,CaMg(CO3)2,cr,"HDNB78 [S92]","SPRONS92.2",15.Mar.90,-517760,-556631,37.09,NA,64.34,44.711,17.779,-10.948,0,0,0,0,1000
edenite,Ed,Na(Ca2Mg5)(AlSi7)O22(OH2),cr1,"HDNB78 [S92]",NA,5.May.78,NA,NA,161,NA,271,199.71,48.78,-46.01,0,0,0,0,848
edenite,Ed,Na(Ca2Mg5)(AlSi7)O22(OH2),cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-3.895,NA,159.7767,NA,271,202.9,42.52,-43.31,0,0,0,0,1000
enstatite,En,MgSiO3,cr1,"HDNB78 [S92]",NA,5.May.78,-348930,-369686,16.2,NA,31.276,24.55,4.74,-6.28,0,0,0,0,903
enstatite,En,MgSiO3,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-349581.153,-371758.464,11.4328,NA,31.296,28.765,0,0,0,0,0,0,1258
enstatite,En,MgSiO3,cr3,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-349546.21,-371843.59,11.0302,NA,32.386,29.26,0,0,0,0,0,0,1800
epidote,Ep,Ca2FeAl2Si3O12(OH),cr,"HDNB78 [S92]","SPRONS92.2",15.Mar.90,-1450906,-1543992,75.28,NA,139.2,117.622,12.816,-31.864,0,0,0,0,1100
"epidote,ordered",Ord-Ep,Ca2FeAl2Si3O12(OH),cr,"HDNB78 [S92]","SPRONS92.2",15.Mar.90,-1450906,-1544016,75.2,NA,139.2,113.78,14.69,-28.92,0,0,0,0,1100
epistilbite,Eps,Ca(Al2Si6)O16*5H2O,cr1,"HDNB78 [S92]",NA,5.May.78,NA,NA,152.9,NA,267.56,157.04,60.87,-21.83,0,0,0,0,848
epistilbite,Eps,Ca(Al2Si6)O16*5H2O,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-7.845,NA,150.4533,NA,267.56,163.42,48.35,-16.43,0,0,0,0,1000
fayalite,Fa,Fe2SiO4,cr,"HDNB78 [S92]",NA,5.May.78,-330233,-354119,35.45,NA,46.39,36.51,9.36,-6.7,0,0,0,0,1490
ferroedenite,Fe-Ed,Na(Ca2Fe5)(AlSi7)O22(OH)2,cr1,"HDNB78 [S92]",NA,5.May.78,NA,NA,193.7,NA,280.9,209.42,50.44,-42.36,0,0,0,0,848
ferroedenite,Fe-Ed,Na(Ca2Fe5)(AlSi7)O22(OH)2,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-3.895,NA,192.4767,NA,280.9,212.61,44.18,-39.66,0,0,0,0,1000
ferrogedrite,Fe-Ged,(Fe5Al2)(Al2Si6)O22(OH)2,cr1,"HDNB78 [S92]",NA,5.May.78,NA,NA,153.5,NA,265.9,196.27,58.39,-39.01,0,0,0,0,903
ferrogedrite,Fe-Ged,(Fe5Al2)(Al2Si6)O22(OH)2,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-1524.649,NA,143.598,NA,265.9,204.7,48.91,-26.45,0,0,0,0,1258
ferrogedrite,Fe-Ged,(Fe5Al2)(Al2Si6)O22(OH)2,cr3,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-2049.966,NA,142.1727,NA,265.9,205.69,48.91,-26.45,0,0,0,0,1500
ferropargasite,Fe-Prg,Na(Ca2Fe4Al)(Al2Si6)O22(OH)2,cr,"HDNB78 [S92]",NA,5.May.78,-2526187,-2686900,185.5,NA,279.89,213.57,42.99,-47.29,0,0,0,0,1000
ferrosilite,Fs,FeSiO3,cr1,"HDNB78 [S92]","Hel85 [S92]",5.May.78,-267588,-285658,21.63,NA,32.952,26.49,5.07,-5.55,0,0,0,0,413
ferrosilite,Fs,FeSiO3,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-267566.749,-285550.307,21.9199,NA,33.008,23.865,8.78,-4.7,0,0,0,0,1400
ferrotremolite,Fe-Tr,(Ca2Fe5)Si8O22(OH)2,cr,"HDNB78 [S92]",NA,5.May.78,-2349100,-2511300,163.5,NA,282.8,197.93,58.95,-41.17,0,0,0,0,800
ferrous-oxide,Frs-Ox,FeO,cr,"HDNB78 [S92]",NA,5.May.78,-60097,-65020,14.52,NA,12,12.122,2.072,-0.75,0,0,0,0,1600
fluoredenite,Fl-Ed,Na(Ca2Mg5)(AlSi7)O22(F)2,cr1,"HDNB78 [S92]",NA,5.May.78,NA,NA,146.7,NA,272.5,195.23,46.74,-44.92,0,0,0,0,848
fluoredenite,Fl-Ed,Na(Ca2Mg5)(AlSi7)O22(F)2,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-3.895,NA,145.4767,NA,272.5,198.42,40.48,-42.22,0,0,0,0,1000
fluorite,Fl,CaF2,cr,"HDNB78 [S92]",NA,5.May.78,-280493,-293000,16.39,NA,24.542,14.3,7.28,0.47,0,0,0,0,1424
fluorphlogopite,F-Phl,KMg3(AlSi3)O10(F)2,cr,"HDNB78 [S92]","RHF79.1 [S92]",5.May.78,NA,NA,80.38,NA,146.37,96.13,26.74,-20.41,0,0,0,0,1000
fluortremolite,F-Tr,(Ca2Mg5)Si8O22(F)2,cr,"HDNB78 [S92]",NA,5.May.78,NA,NA,129.4,NA,270.45,183.74,55.25,-43.73,0,0,0,0,800
forsterite,Fo,Mg2SiO4,cr,"HDNB78 [S92]",NA,5.May.78,-491564,-520000,22.75,NA,43.79,35.81,6.54,-8.52,0,0,0,0,1800
galena,Gn,PbS,cr,"HDNB78 [S92]",NA,5.May.78,-23115,-23500,21.8,NA,31.49,11.17,2.2,0,0,0,0,0,1388
